127.0.0.1 - - [27/Sep/2015:22:07:25 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:07:27 +0800] "GET /myblog/EditJournalRelease HTTP/1.1" 500 1498
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:01 +0800] "GET /myblog/jsp/back/back_journal_release.jsp HTTP/1.1" 200 12045
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:01 +0800] "GET /myblog/jsp/back/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:01 +0800] "GET /myblog/jsp/back/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:01 +0800] "GET /myblog/jsp/back/css/bootstrap-admin-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:01 +0800] "GET /myblog/jsp/back/css/datepicker.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:01 +0800] "GET /myblog/jsp/back/css/uniform.default.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:01 +0800] "GET /myblog/jsp/back/vendors/uniform/themes/default/css/uniform.default.min.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:01 +0800] "GET /myblog/jsp/back/vendors/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:02 +0800] "GET /myblog/jsp/back/vendors/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:02 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/stylesheets/bootstrap-wysihtml5/core-b3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:02 +0800] "GET /myblog/jsp/back/css/back_journal_release.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:02 +0800] "GET /myblog/jsp/back/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:02 +0800] "GET /myblog/jsp/back/js/twitter-bootstrap-hover-dropdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:02 +0800] "GET /myblog/jsp/back/vendors/uniform/jquery.uniform.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:02 +0800] "GET /myblog/jsp/back/vendors/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2015:22:08:02 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/javascripts/bootstrap-wysihtml5/wysihtml5.js HTTP/1.1" 304 -
