0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:10 +0800] "GET /myblog/jsp/back/vendors/uniform/jquery.uniform.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:10 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/javascripts/bootstrap-wysihtml5/core-b3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:10 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/javascripts/bootstrap-wysihtml5/wysihtml5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:10 +0800] "GET /myblog/jsp/back/vendors/boostrap3-typeahead/bootstrap3-typeahead.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:10 +0800] "GET /myblog/jsp/back/vendors/twitter-bootstrap-wizard/jquery.bootstrap.wizard-for.bootstrap3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:11 +0800] "GET /myblog/jsp/back/vendors/uniform/jquery.uniform.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:56 +0800] "GET /myblog/jsp/back/back_journal_release.jsp HTTP/1.1" 200 13015
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:56 +0800] "GET /myblog/jsp/back/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:56 +0800] "GET /myblog/jsp/back/css/uniform.default.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:56 +0800] "GET /myblog/jsp/back/vendors/uniform/themes/default/css/uniform.default.min.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:56 +0800] "GET /myblog/jsp/back/css/datepicker.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:56 +0800] "GET /myblog/jsp/back/vendors/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:56 +0800] "GET /myblog/jsp/back/vendors/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2015:12:51:56 +0800] "GET /myblog/jsp/back/css/bootstrap-theme.min.css HTTP/1.1" 304 -
